A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730)
2685.07704848307,1201.5626474926169,2854.281201167303,892.5454643614668,1064.6500772864495,2047.862227981141,449.5366540906975,461.41233561092537,1461.0103127694751,236.2116805727541,350.0651370821109,70.68918852076523,73.9888630119236,244.09621654096037,298.6493840473096,99.16559138990301,51.056374350753195,84.70129864703001
1901.2134294794873,1028.335211661631,2320.330452692397,673.0899219559806,1050.6138700581098,1265.9841950632042,376.02269761097307,362.7449570819348,1067.976403380718,178.40259983269348,287.0958277115926,61.149212140538026,58.88613758768032,163.20873011641214,224.16805372213565,74.82191931112789,38.60967132268411,80.7904000941975
1861.0136615435958,1088.0669545637907,2202.559411019727,766.4900069098871,877.3836678308937,1204.8371860504085,419.54500103975283,434.47020410512454,1454.596382628559,216.71397713096613,331.33276852904254,72.35504754143612,78.98750143879593,221.0311175459208,325.453144866201,87.53613716545732,49.043421875869434,82.9204761586893
3348.3126528295143,739.3649285281235,2274.8715245127437,626.5278926945955,1073.2310504342058,1318.4662915984943,381.79292015828514,393.99970322180906,1173.1383606788424,186.37619785898772,273.9002995365647,56.40854535057446,70.65995427027188,165.07097431767403,212.02301942335606,114.35153138573325,55.11615722488071,81.30637081874427
1842.2639596554448,947.6637532360874,2305.952206235032,672.9988072529582,1076.6570166219508,1322.9863519317687,389.50473657263564,399.11656854047635,1156.423301124442,204.38047732048037,288.6485295143396,60.438880706696764,72.47515641733975,173.47348101194842,215.08107728634698,74.7968162738236,41.3129182060376,84.33198256372481
2622.2936070435767,1173.5786307907542,2986.8680283411395,899.7813770187621,1086.93887360669,2079.2927647336132,480.238865097392,492.71507852135363,1414.4007819471094,276.7964182262871,348.19053542184906,73.37689914204257,70.26688465166349,247.5590218700357,301.3561628866624,109.02737471720397,53.16275127051599,83.78060165518822
1806.8106401604236,748.9818436151348,2170.399090068937,532.2431110439221,715.3585765332206,1129.073278192568,346.3371287063764,363.2246421933876,764.8778011765831,196.08786040610877,185.52128166546737,49.33357433047407,44.684395424776056,149.7983761421395,195.2868615266147,84.88027898735308,38.45226112846117,55.68558563014955
3830.1310696103515,1355.552735886964,3691.4957901636444,920.4404222614745,1195.0714780933881,1884.2247211539843,490.09392767939005,504.77178064240854,1453.001411788027,260.51939893357786,345.9538756425853,80.12119091828828,71.74455339457361,242.2428552364402,302.18486828223735,136.5856515504358,56.46341261359132,87.1843998477763
3302.905155751449,750.168404556313,2182.921190153192,631.6481581820218,1072.9646945363063,1285.2151870789664,384.18613432547033,387.83580990637057,1133.0935353336347,195.83392778350822,279.0144114493102,57.1188847911675,68.25844508784671,161.4038717373754,211.65522062642572,114.90334003478361,54.97834822095173,80.63635016213131
3843.0126838401497,1416.4714923114009,3222.873151920994,890.6634789437097,1002.3155059058577,1868.9697940039482,478.88078266207515,487.2349639865852,1375.9654059601094,64.55517381964927,79.35503491835313,70.28226861691712,311.47803250839814,111.6165347363307,52.385964752366704,32.35762719913908,23.1013417462128,255.70200365866987
2497.996279819981,1108.5641560386573,2758.6837256647423,874.4328576409655,1027.5726410939033,2030.2231450751292,423.60973517004,429.2484638155234,1324.6476167622845,223.92949926366342,257.7669227799468,68.4549582166488,59.61577659450462,219.30847501627153,220.67192379359508,91.61170496537021,48.31799184548357,76.10872586798659
2504.0498730727763,977.8102907446145,2796.021120168723,602.7298062552186,886.7694846818862,1372.8387570559107,369.85255471663737,389.3729099418094,855.2709807138284,190.0197722352558,236.25815565201964,50.90465411781296,61.995096782543904,198.66110661069587,188.98013594156663,156.0195321957988,44.98763599163817,68.7805745592645
2334.408924293284,982.5803204422483,2348.6450491935743,571.40351827879,907.913971144686,1213.7874550262268,321.27755724685346,323.4702999841988,813.2227711332364,149.79968706750753,175.7764206054161,48.708492088672244,53.17563613826809,147.19380377276866,164.78736598649422,77.79334998411917,34.21865736760181,63.876076909250884
1715.7513714888523,1026.253933233284,2520.2393033879775,840.7490071469505,1039.5189150113692,1973.039552170408,433.85638689521437,444.06803633636184,1392.0043940910855,240.98389022053956,310.6093204622567,68.37180899427631,75.41797254672393,231.67537662687715,276.1604880089386,91.44243972504616,48.073144794300106,78.80046560256254
1587.8927185053828,714.3927741143286,2139.877802564725,494.1703646188255,761.2570643205527,1062.2141786272598,322.6020459797325,320.87734740335225,862.6972647636147,176.1265990610696,203.0784099468572,51.91019168280249,48.01252581963973,157.42433448681123,185.0667378246173,75.1363818703316,34.67289557121398,66.29468532098394
1884.8876197479028,971.0447459418695,2265.3529971395483,674.4156877776035,1055.119175315011,1262.5919982927812,400.9333117411332,399.5494486460982,1155.1549587754205,202.33798831834585,292.9515225423555,58.68162095034117,66.92719238717538,179.570016878283,231.90212676848392,77.68397537209337,40.34802785805414,81.320140755259
1869.0977381269875,913.0355306709612,2121.336656402496,668.2106444558879,1014.3458373180081,1275.130052346538,387.09162938344707,397.5592356376087,1147.0299440060573,203.34729011578528,291.5586080170421,60.673051205887816,64.84884350756407,181.52503095659944,236.17040611823356,74.27092440726337,40.60746354249548,84.36162294458067
2362.0796602248975,990.8041916466817,2464.781684220179,623.2901967157585,873.3616522715455,1245.6120956683244,372.35739119318924,379.1185213621749,822.9678026167402,217.01885470807747,223.513722907137,54.95067805101513,48.13801809479154,164.5669047145846,205.07228762345335,85.2247575967157,39.12415988336395,65.68406375540528
2740.981832845318,1165.4423987496232,3005.099820254084,809.9125590299329,977.7214005440599,1827.8227379011048,373.5696704738703,389.21928303652174,1132.279697410209,200.18353126388845,228.74680503288184,59.16154331510406,58.72939174219986,197.00092227289613,188.52046133811052,96.79833586694592,48.575492613678364,74.43166809812081
2527.3144311999577,983.5346422788518,2943.8552708486222,683.7087451967254,929.8763417591409,1823.2941055363651,386.5454268897411,399.2690067072799,1310.2112224375046,209.40372520159758,284.28228407543264,65.21640577358465,65.82745051518984,227.9968085859065,301.0089014559055,134.57348934097232,50.39497294116249,77.93964644461931
1074.2364111264922,778.4896485995381,2095.4545448588456,643.0632613750126,1075.3076434847362,1359.5355485276427,389.31055750927936,401.7762790590031,1140.9146829072736,197.03341942300656,271.328485133633,56.81488126438523,62.66412619562256,161.88012021101753,207.5806067801659,72.4390844738492,39.00814519840021,88.34294732329431
1874.703723418054,979.7287494243209,2237.436792618754,676.896327172273,1051.7485514777827,1269.7539768187946,393.813195798169,398.40607135719307,1168.6743846564866,205.76711323493936,292.08900288015667,60.66956469200074,62.69767773339368,177.12722881412046,228.56174313124586,77.19116981535952,40.39788918911111,82.26333524927658
3262.8064470398776,737.4170429401182,2226.6101870500615,637.9132674746036,1093.157120375612,1336.215561047966,382.23287390777665,387.82929200944847,1160.7942178729234,205.6956939660098,279.16236318746974,56.068213431698304,68.24626237317031,162.7119785832985,213.31572605470961,114.166010789835,55.33818601015687,79.9780708149178
1185.1628989913456,821.0728705824262,2102.0738193478783,644.2315641405371,1073.635213981579,1356.0282835440219,394.8853712193268,401.8038962596889,1101.4667976841622,202.67821772131484,263.6220892652079,60.53780743111808,71.52260449441727,164.77118942144799,206.28310916231524,70.2092430937785,40.187584593871456,88.79687226587319
2429.9612708335153,805.5991249205233,2012.0562842579575,694.1866684750432,849.0878311179894,1698.4879549566529,371.18888734951713,377.25667837177707,1332.2382750681943,201.18147245236239,317.22021153049457,62.69110557234244,72.20706231907873,245.17112477851887,279.93671907372294,83.97783888146621,45.06083114249044,77.36404003362463
2318.154480929099,1001.3066474429329,2382.6856531380668,579.4700855641602,921.9872781116655,1185.7979064673366,320.6596489402585,316.16604444566815,845.058751353144,169.0638331323227,171.67248340606162,47.24780759658065,46.07912616022357,143.74634517614743,165.1018448289082,77.56708024378494,33.96744005190371,65.31801481069147
2083.7400762717584,1070.9041277778556,2318.1594148114655,701.8314268373724,1136.9942726473023,1307.6016654672212,362.30723483792565,374.99861083152973,1179.3275017868912,211.5100526557328,241.38834675136516,55.48090676768317,60.299890284415184,167.4426521211931,205.39801864378083,80.96878013870209,40.467266769586246,81.40641565586834
2059.450954688727,1054.6607773032138,2320.067491525241,713.6311823682615,1127.7934729672743,1309.2735514371295,360.13981649397675,381.0102629259687,1174.27656853932,217.8103882544911,241.67449956596144,54.825604892223836,65.04297982415322,165.49041900088133,203.98874481523063,80.38255907341893,39.30055837194711,81.68147780864892
1313.5842588817573,789.089023387998,1984.8973281164274,599.3183873268572,947.1576935698815,1146.3083135527052,371.83881005787504,372.77052009628034,1131.618563827935,197.87868493353992,318.8880064349382,51.19059123011774,62.2871232965335,183.7766121654712,241.7578503471275,70.59091465180042,38.78417529064089,81.9375038326162
2381.10873690937,994.3430568198878,2461.298172383798,619.3225590376699,884.9904393472476,1229.1955531603626,371.8421153571524,389.57737978307034,874.5008085015759,198.0905781448789,218.53344866090026,52.50870817879805,56.06523945849154,161.83938385201395,207.19694864899904,86.15178579005733,39.17414875545012,64.36426258827345
2266.3064180875563,988.3816325848408,3155.4298074294124,809.9027700879999,1116.3950757546224,1897.5940822716686,455.08612415427626,459.7007535086392,1445.3337526377684,227.88017138826703,360.92314804399956,70.38448106171451,68.78064516699213,250.83625637007972,308.50738273130014,110.96040886259378,49.91000119499561,88.58046075076808
2690.701060636865,974.0811661559903,2980.828652462855,701.6962433348953,923.2730978955836,1837.65330803262,390.3447607089237,397.113690538953,1313.9767715669766,219.3340081455089,284.3323026742381,65.45233307266496,68.94297558634395,229.60223039512394,295.42264034591386,137.17743341186303,49.93509588660335,78.62746942193264
2533.033109235736,941.8890796058723,2287.0995089449702,636.9987868834237,756.5785424623003,1430.731902959661,395.19912171387944,404.1904315080825,1036.943317318979,201.19278353753398,297.92611455673847,56.82351521009296,74.68366877747819,215.42559903769256,361.3041243768393,87.51867228055328,44.12567394026888,80.93935703366155
2318.953788337092,816.2377555333167,2180.8511726669294,511.6668548281606,782.9657916467041,1051.493117165094,306.93333146000845,301.7803190486774,737.1345708115033,160.44115339217987,161.8060260395527,46.55463669725163,46.46406077230056,143.3230309322575,156.53868589039897,72.98193949366004,33.16337007510765,59.38738315660193
3254.2033394672817,1275.4675651795194,2833.7901544903393,923.5543231696903,1087.987790657906,2051.2940357949446,495.3546563650226,503.00425839444443,1470.1371483676378,263.5725602822401,357.45998291771343,76.70249832925383,75.58706227335581,258.0067401809373,306.8800861769244,103.38231567327394,54.94323779759044,83.5188340954503
3851.1571109178335,1396.217788197626,3208.1878232586496,901.081830120421,1000.1333020430802,1865.464824552801,481.4984667081078,494.41047409327325,1369.896047674412,59.52462374379091,81.6587108708906,70.52070020940242,303.83723925095745,114.57872006225179,58.081117190683244,34.541900002126134,23.38609480454378,254.95635114722347
1804.0439764293403,1017.5022296045893,2579.9819727830777,839.6932207766077,1047.0228162837166,2047.5948776502744,454.16375163557245,463.8760655878974,1464.8758667307773,259.29317666411663,359.6950640646735,71.04248849998731,74.58041706623287,241.69794484943864,304.0831981959174,95.93477365561805,48.820844813712256,83.45167205477632
1788.902933833058,844.5892494006231,2750.057371288082,654.7437752968082,898.9227085766715,1360.8893052308927,376.9633882891448,385.92587091875373,1015.4665919415274,198.53100161116666,254.93211402759292,53.81471439515591,57.870880451450276,179.09272291391557,219.718315985895,84.98496419124947,38.52908114510891,68.494656967126
1715.48845092759,1026.4750254220069,2484.8011845574038,836.8126915840497,1038.0741889823353,1962.114624675666,440.60574372189376,442.5952985743752,1396.2647686320606,237.8340029091913,314.8413676481756,67.702062489807,63.12164496984862,230.12668522311554,275.7443428802029,91.37700555566215,46.92877744368253,80.36424636703885
2124.5045309823327,1000.4638397137292,2396.0451960143027,629.6577964598416,956.5165116515717,1198.0364580978496,382.1189945311539,391.9661900792573,984.3079676340202,181.5335464169318,251.61808516215828,59.15442029026547,56.22325438971046,169.61093343704138,240.40255197386173,82.26051699885713,40.40094089288603,72.5391972298641
3352.4797501943763,771.1190979800529,2216.8005522172607,641.1806103657468,1083.029953965733,1317.264648186183,382.2287267737048,394.6770479255163,1136.797218797697,204.62894661818325,281.07479481052513,54.27681897079534,72.75055930389026,164.65418845578495,212.25069684304242,112.31949751213133,55.258105777269954,82.00307327991675
1683.0531491901436,1059.9784862640279,2453.2259593165345,800.3598047820208,951.235853303048,1739.8845033056546,430.3713770287194,439.1136474740383,1216.9903661114552,237.89572227611814,293.0159422504407,62.82659619958624,70.18576940146457,212.69202512000575,272.0372218560754,87.98139740478864,47.245608104178324,71.94056666187934
3277.1083547087696,1299.6505456339307,2961.8429727209555,960.3462324462168,1113.1926685759245,2028.2109714435774,503.8722942369952,511.1258667057304,1479.7626003661617,265.68175101637365,338.3233958068146,74.70575307507032,76.14988356174693,260.24198999229384,311.38537607323195,111.38853199635922,55.091272629174576,87.07545042201478
2137.095480643585,1134.385678392652,2792.2143356008164,873.9554437145708,1045.3985176389074,2039.9978195248955,417.8445906359879,422.0261513127975,1474.3116684010508,233.81312469930361,331.47205488370986,69.76916639817549,73.72608882301391,246.70353464927655,289.6510105160774,95.11669358412223,48.31190369229654,83.73160917497532
2479.1705690883814,962.0348282514574,2317.640139733202,643.8266401195071,751.6348637883987,1402.0355058327636,395.30076371843813,401.1046384899696,1038.2216922325056,206.9543605478359,292.8871471639252,58.185852217302774,73.17953971837572,209.7491997197711,358.66572393766745,88.20774691122058,43.49239795159367,82.01118876929986
1947.9506389595847,1032.513789519089,2567.928022442662,666.1525448785225,1013.1719526920698,1273.484825768617,387.1299624826924,398.12105348654774,1020.7588761428882,196.02733640696698,249.7185592509293,54.62536911510582,56.68738649522442,165.1143422508181,209.848400420044,83.25907769859839,41.0325000754172,74.22729275936153
2314.7791415789575,1043.7035068353775,2199.039877053089,715.6893775485507,831.4507896988671,1375.6916861109394,324.8458451790826,326.4603267543729,1241.944147426735,157.02770018505504,292.54245595550435,52.075000533542855,73.74398400387621,224.42938156423665,272.3503138899659,61.0562490602165,38.09147922830777,78.58553975702156
2404.3950182155277,974.4721842793838,2364.1079314375615,566.1572376477009,915.3212446463336,1180.6787021724122,321.1458405269228,315.07425330990185,817.4243694213019,156.99905789450256,174.34540377906737,50.06331181172483,44.380579045974564,142.56935664796643,158.7884912756544,77.1202142502247,35.288861491075245,65.7490401510844
3324.8048868283495,748.4171880284254,2208.797354867928,643.9427863531738,1076.4023873890123,1308.3187640240553,384.2601473505262,392.0585086556095,1174.53162537285,199.60732581835708,275.5413448134008,57.63563298302041,65.82121219348822,163.52938873855376,209.3485875391623,114.86063961609774,55.092411522608565,85.15351830081471
1863.6846696217044,1053.6864415185212,2513.491049571259,657.8713504133977,992.087950338701,1196.9043497796833,355.0549504981378,341.64864254356837,824.5666485257842,167.27944807854718,222.77762470781045,52.8084590735901,51.82296474517591,149.09026902479607,229.22986611331393,81.19165087894,39.417405904730956,70.77868111618716
2539.1169446393865,1013.7574312078086,2620.953098188632,633.2195478527362,903.056375592949,1285.0278124037952,342.7155119102116,354.41010785721426,976.1557357832581,209.56558496970985,201.60121549275888,52.73024847863151,49.20110261546899,155.5409798548208,173.3423246955377,81.46183160004252,37.61317816700643,68.67327720772056
2301.265765980704,1342.1685587394572,2738.2870770881595,922.8768997616482,1073.2043004620866,1955.6274098241047,420.35165928530137,405.6284069266685,1343.3876499157227,192.98743170626298,355.1850373613057,67.60337057693326,74.95909345303585,233.81501849275634,307.6667243958968,92.26542226582225,46.68859442683901,82.50662599485266
3177.7537713364436,1920.7153769391896,3318.7739729457653,1256.964269088187,1476.964597559134,1720.7385631636935,565.7483366552009,576.8619044409876,2011.9206134475871,311.00934103132016,513.2819342295668,95.00201749646266,109.05752071417977,315.40054687513845,503.7355488580586,140.30026485262977,73.14137532855166,122.67721297310172
3171.5364165489236,1075.7056721880365,2003.7020210373478,648.0450822048984,769.5006795719487,1072.389786590142,442.6133474206171,442.50313121349393,831.5330988790139,183.25736297053575,268.9886399356164,61.78664061364431,53.02793234199808,170.14668965421018,306.08143689177706,110.83432311185791,49.82843149569791,75.35846405998588
1817.642873751131,1063.2194887074932,2555.144498615414,664.4960381009266,982.5670100805331,1202.1515975242235,358.9294217239547,344.0726408924298,816.5788125321233,153.9206912066895,227.13960033116982,56.67369927309609,60.84723757049296,152.03570438496476,224.36496935258486,80.66249491589541,39.76507343965693,72.1362705413256
1794.6077607905163,949.7376171500473,2078.5598351109534,668.5463742096924,1040.2370775293223,1187.193530197723,365.7716159705679,380.3408758101423,1052.9328624324055,208.89962724923677,286.13925016794326,55.85312306854155,71.11643903916328,170.04185566921927,228.30262603472883,73.7216964197712,40.67599118498762,75.81167544568488
3311.5142956484387,737.7159048065784,2195.2952765457126,630.1903228125692,1069.8107533911834,1307.75908025562,380.04434713248844,390.7573165627127,1158.5952127240125,198.95043605089703,284.87548345254487,54.74225730977579,60.18557456226606,160.3935149636565,208.36831002293349,115.3110249916616,55.14489571787729,83.50574031625183
2308.6645863455237,1082.4462706009417,2413.837769401699,630.9666461620864,918.5838317774135,1118.8588560439377,356.265000596659,347.5629094254743,961.6572922982475,179.1028933143674,235.39349571946317,62.58484509735918,62.23262459537094,173.6888167860184,242.90473608549718,85.47910275562963,39.59049963706813,73.04216416312616
2295.498741865912,1025.754031203384,2429.915068698668,636.4399839758147,955.0431559448789,1247.4542095837096,393.55970881347633,401.9547715645026,1015.0124961241668,198.50353662858683,266.57449033416697,59.773323367252246,60.417005777764786,168.72821533487485,219.1836364061316,86.52019148827156,42.71940530110393,84.31271074706638
3155.378944228667,1272.3348373960293,3275.1412150523047,935.2709540245037,1102.594642121741,1953.9188804619737,495.8858647636005,505.0393711064425,1198.813924152054,261.6277685393297,74.36560727798215,79.197244732931,233.37628063489575,295.4705257226586,126.62989526616947,141.03808942625815,58.1580615954443,65.79972356790147
2650.010623496156,1244.2889549050424,2196.1660291782573,842.130816856213,895.8239685561756,1422.5411129866625,393.44930735715604,403.21801282057294,1261.1246729762086,215.68730051798607,279.9679734140732,68.42140663574993,67.95110089678396,231.26596918428862,301.0032851692966,80.2844218208527,47.739252096955816,80.68023522637323
2771.7454826901876,821.6360535715443,2408.2626055372334,578.2203195782365,913.967694850739,1337.7568192977874,357.851504668109,390.81100316583525,864.2045856624503,223.4495804472898,192.19935722807554,52.825302004340415,54.857229441246226,165.51115225526192,214.75156889316858,88.03162978022335,39.16955734906933,70.9108272199381
1037.8201081339785,648.6981138560889,2055.834868529292,496.68753391962446,851.4860424853389,1135.0763660984705,336.84891858916853,344.76687034267803,962.6946484721499,164.50349395190682,235.80583459230206,53.29462971583995,57.66399670190087,167.03518138630304,236.14034286708574,82.2418708398897,36.5510897445679,72.14096011807109
1582.875454025937,928.4363648063189,2555.693766734707,646.3453917361933,933.0295898824264,1243.9222409823658,377.89378073996505,380.17322702201324,1010.9009631779825,197.29792229838378,244.39518730977636,55.311517287959475,62.69257622726714,169.7141139414592,231.76362320888373,79.96803049271405,40.121998926828056,71.23970913133782
1742.9735710359134,740.3806723367984,2189.5249787268554,548.9738779735096,727.4453605043102,1109.4529898194166,347.8059800592669,368.65488902895976,786.905197916502,180.1114060649672,188.39576243440578,51.88630863720265,45.14303116739611,151.35907713328282,186.98645239061054,85.42906028763534,39.12833291899793,56.88967493445506
1086.7950871328107,648.2520584633911,2024.910028693314,487.6192337349419,844.2236960988545,1141.4472694976878,342.3003465224894,350.02197169991234,945.1437141091559,183.27642191909618,231.7024731486085,51.87305763375416,49.35875656756873,164.82349325158663,229.21986890916614,84.31144333064333,36.90962681230809,71.85668544894611
3823.3081696446684,1351.8229620825662,3628.810061886132,906.9118125445076,1206.4425163757842,1891.042874830782,503.77507757708906,505.36904055365585,1436.7901923258314,284.81640818931106,354.6140737654212,75.2511978725669,70.02617604787086,242.94695553561948,296.708726439863,135.60191861574762,56.42992531106964,85.31858802273919
2387.6846548579547,774.0503634924752,2210.249228047691,220.2902284900227,782.0026871499406,1120.0022783000065,277.41448486378886,289.1349196355191,688.3383966090613,143.94508616600257,154.63239992372218,43.544790516274354,40.70949789185199,130.19843196061487,126.50807656149178,75.8356435860396,32.557566382619626,54.97072040678141
1885.5172772761343,1138.4999276511737,2606.2102794637167,882.9064511996484,1042.275583062257,1962.6918519725111,394.48455653107385,403.40438153936475,1192.2658086811034,186.96933142825696,281.2764758399266,67.22756846695457,70.91491291932036,208.71000894749577,239.64317579634906,89.17833809737058,47.30481533946358,73.62241606365457
2030.3910039079544,1060.5000569503868,2281.817774498306,709.8960008666476,1133.89942018345,1326.0211411620542,360.5673029302182,379.82128325415766,1185.8532356708959,208.80162313174856,240.23224732797908,57.09889805906567,74.36461520391221,164.89288908076975,205.94462756713307,79.43433983099945,39.899016680328536,80.44125834826092
3359.8915752569305,747.1628860626986,2226.762696537665,633.7676419983778,1062.8252019338822,1341.9632469595056,378.45008802475434,392.45014375509334,1139.7602069274872,197.49124345895075,281.51729416029946,54.33003245919992,73.60903632032904,163.55090191972013,211.10347424305232,113.67752239417749,55.339629899736025,84.99595775569566
2374.1900909699184,1004.3005903798379,2372.9613315943843,567.2543980359847,907.8257637514942,1187.0820913793823,322.8145116897536,319.5685146675199,824.1027584009961,161.84631539595793,172.55291039357803,48.19141863016294,48.56277839936657,144.3666319837616,169.01198840033666,76.08324224837308,35.04121459015821,64.14421327320662
1859.7192947941069,1080.591264454559,2234.063832865357,788.9393694716186,887.5174500615494,1199.3039031251087,422.2294989680334,430.6885605176143,1458.8160275686068,211.59888708358378,338.9070252427548,71.20684779471374,72.90691280324747,220.93064933451836,319.98868941774265,87.84112235334672,48.67863308279931,85.21602203295728
656.0454501204006,464.26546757811735,951.1912919185418,481.19180341045734,675.2038888049151,702.2817999709916,390.562461506479,403.7784077979352,1268.1904467219467,190.48030047724524,197.24030206140276,67.13109858505169,51.32134607409289,138.1599214794897,168.03514674172564,56.01217813439764,35.26278237809756,66.74465508443464
2913.562330021149,1189.812638152518,2329.9030408365766,820.0432657735024,925.0281169536294,1629.3862868594701,369.6166941158036,358.1840896171246,1443.1351579569941,198.76442830570696,345.33235206681024,64.55691304333222,77.94047454671876,261.91910021035,323.71175847560977,89.73343101162658,48.133787847075176,83.6229043610263
3302.180461294366,742.2188656917597,2216.8062149639004,639.6856134291015,1078.6884431648768,1315.9994909687105,385.94072305873095,385.76681539848715,1159.3414948744503,213.168255813383,289.0475320038684,59.27787087962123,61.32512224413034,160.29835927981722,214.9216044415897,114.5974126301517,55.17545916584054,83.19908009301562
1511.6547395295383,688.1050261127017,2126.811860707498,514.3948627187583,764.5589698417959,1069.1267597119877,322.5292735052128,330.57056847894586,869.2850482877375,140.89485287561496,194.21346010274016,44.745556093069624,50.3862483820455,157.42987551840937,190.9945566983105,75.9164171341959,34.811128866609685,65.99966586884922
1659.838913836349,1059.7936311105432,2471.6744079816835,819.1952918217397,957.3958035452433,1742.802938126335,428.70126164462573,433.5492420376981,1213.0458554865863,212.78379873861812,291.86180643871427,62.94425923023956,59.94374482308221,210.1085774644439,272.8642718664632,89.69602732615729,47.7543744173745,77.19186742875071
2217.1085196461613,822.7501288006129,2391.2108583134536,584.6556413423751,903.83790120967,1304.2450472413177,365.38080587912583,372.5623524212487,962.9051646266977,186.59499878818326,253.1281183953164,54.5853206039524,64.46583500755037,167.93292183277336,200.84054330284596,90.17768130572337,38.89122570234914,69.70886862840337
3035.672117888847,1324.0564347108007,2751.215423049774,964.2045306463291,1107.6325882823403,1939.348079736204,486.2435986474366,490.5257893688008,1458.7137818738531,278.6112727427376,359.44317935533456,75.89192778964197,77.06169854564418,253.12091944538582,307.221299181224,96.55533507750725,53.832689187797904,86.63716460960899
3121.1490416805045,1086.005179764539,2002.0546617586783,645.8936444501403,765.5879437272713,1098.751396777187,437.16292989670154,447.7006971059357,816.984675025299,202.29511648784361,265.0912962328596,59.511707693407125,55.06058686778083,170.07907643544343,298.05847262806225,109.81641285278289,49.8159716652901,74.63860324501577
1893.3088401833966,1048.0190830407482,2294.4073014107653,669.8917256110497,1047.642137261618,1265.720980177182,369.2398072076551,358.90764600347086,1050.3696827835377,183.81980555121447,292.4591602287931,60.38882780848445,62.694543074009296,158.5464833455527,224.51290983045345,76.4107639822779,38.78791319690211,77.90700587640974
1771.4139839621453,901.8942851767514,2054.8493081884326,671.0348909162606,997.5610328000431,1263.8187888709235,362.75824586065886,391.66051557065646,902.1836716703547,193.56171470155437,269.05929530757425,52.86242016217867,69.2094234720968,162.258028565529,212.44413639983375,74.27210848024117,40.844764230565104,82.05425186846219
1770.6288192960872,680.9037570987336,2196.325954188527,478.3384913557786,772.4985675547827,1086.2953063174502,283.17852303129575,269.6974998023757,658.291894306338,139.83610642483276,147.39235832706976,43.51123263124309,37.46517909688094,122.28810879763768,126.57730105781367,69.47016409397911,29.196836273699788,52.414001266461156
2653.4425682556735,1244.9903068370597,2264.6955028085226,856.2656274320435,900.7730031556529,1356.415581967573,397.3756536809568,400.55753880026043,1260.1786080925892,214.43862854710508,283.0518762532906,66.47896746676398,73.67424805538343,234.0354454526919,292.43325973851654,80.52729653007624,47.056495969914494,80.00013725312792
2539.577223520896,1175.030612884905,3450.907325784677,900.4552754552666,1182.312259931591,1865.128805431583,426.661377645297,440.57565706811323,1406.7849988397459,227.59790751221823,327.7588503438634,70.3490949964904,79.59201850411065,245.40556228691005,289.25367633677945,117.30527268711133,51.932492302020556,88.26153782850253
2010.1127375719227,745.7965796538876,1904.3543145117233,415.8228473840822,718.8521396193942,943.421351641868,241.36314868683593,238.75999233733575,566.9193127185458,117.22138871592706,145.35092164160835,35.957462946400575,40.00621873390924,113.38813202395124,126.74571794551602,59.5612198301187,27.526616916866942,51.971124513344975
2121.571544785265,1137.3999837823296,2785.205533530033,868.0038344943017,1054.4042556463742,2010.1154971883745,418.6484833905139,420.3788294683281,1450.685822097466,201.5524544395613,328.7251049119015,69.66966484385384,77.82489046491908,242.745379459486,293.7613951743619,96.0344374379102,47.92462495759542,83.87382823163213
1078.2377288776474,620.6291111354999,2056.2065482868493,506.2392597201946,832.2402218312479,1114.8379020197947,332.4713526675344,346.0865555510516,977.861843623399,191.07464546165463,235.77301126907318,53.159496575942484,54.11507422286618,166.75823192840835,231.51376192524032,83.0096215664598,36.49471742495163,74.30915640082314
2386.4711770116514,1064.7772083700659,2174.5725974119755,705.848324741243,835.007791316757,1361.3437770365213,326.75257949473047,326.95080818815893,1205.1472006109643,167.9311311385278,295.3467012224905,51.69579454546409,67.7605325008574,223.14539119053782,272.58165775884726,60.38368386357463,38.127350386747,74.54471022273628
2709.016342356431,962.9368003835643,2148.2256123074008,753.3646863335811,895.4955469216978,1737.0365834018598,378.02551178240196,370.00887516724265,1343.305259749249,183.33011698706554,327.7082571304029,69.08938968905612,63.289189696426625,246.741058947773,278.8166876869457,83.19213029499602,43.68229253564567,78.30454645723553
2104.111482237547,1107.0319521803308,2819.786493254696,864.735477277883,1050.9219914066507,2058.4941471650964,455.70665093889556,464.93183780659666,1446.84833300591,240.85128998857627,347.2533769546613,72.24663031423142,76.94058634720105,238.84317653136907,304.1115604950003,100.83731676292561,49.89402321355782,85.01078980085242
1802.344081314222,890.9014025248637,2045.9070878925738,683.0623007431307,995.3439508724653,1258.5891498068402,368.31168261252157,390.3315570013473,916.7397870543869,219.554915425103,257.0950080633172,53.89537083982276,64.25254725866323,159.25882035963167,212.26720362363392,71.40925275693283,41.5557036827015,81.71421797553789
2119.367976772468,1031.9484970263625,3001.3248100249625,732.2258422714108,922.3143955039263,1906.0511900833055,467.31723217479305,465.9074290351549,1368.9434625708632,245.5993449468023,361.08045007693784,71.62626441663235,73.2969044643206,256.83333501706755,320.27477429286324,108.01547828331084,50.40519432543052,83.05102065647384
