pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
7.5958741537716365,0.11718142623854434,0.5319925308419883,24.451852680371733,703.1402967096118,6.874596366690373,2.4304908574190938,58.336819433772426,-0.7095812397291121,0.7252062747228768,1.288078446005307,0.4067630212058092,1.0605285285867827
6.230315110415966,0.06004149637132711,0.2065485410619184,55.164911867339164,150.60951996223233,4.651707396300619,1.2426712954396404,11.977833222303508,25.877044150538563,17.668543273535093,1.1455891872304775,0.9533627953182433,0.7559246845407335
8.525863112146478,0.193637009240797,0.11870136472682566,6.37525701707074,107.25067638604942,74.1443948545117,11.014283735910807,4.224727096776614,16.089087602884213,5.684639153148338,2.3645525374893133,0.5875647263247801,0.555134334744839
,,,,,,,,,,,,
6.108398583053216,0.09172862047924783,0.763102072513227,5.540412819478121,194.44000327813194,6.417376090458735,1.2212550911756122,2.961747381067293,84.39587832799452,20.04762983891981,4.099109036397251,1.777654645913853,0.5359033703469357
8.592496237925202,0.1318045845432874,0.3808088003438853,10.647182408550304,514.9541703120356,,25.891394083533477,15.45620021415525,6.952245782978338,3.5613664080491856,1.399609772819334,0.21684935079925166,0.7477258814460316
5.68731533098266,0.07149222019639868,1.168100690109016,37.5234007151414,193.51055938526395,7.154535176639066,2.2994232424153416,16.19095469278597,18.590151422325285,36.888763567734586,2.3930584653120377,0.7779974483368395,1.168144215778405
7.799602273761862,0.42980233549961394,0.8779589426848106,58.89614633568109,399.12043990547784,8.584453441953732,2.639372044577438,5.223826664565438,4.162492853538161,13.249745992610352,1.1736512143429936,2.515663240559148,0.3903577356205772
8.591233132078898,0.25116211502471075,0.6176869500646065,15.492458222351795,574.8247227818111,42.538693173070655,3.3133470698500185,19.014502879684684,1.5573963051238784,3.804521041917864,1.9703280951931283,0.596128404922368,0.6994371541863683
8.466469418724602,0.20227185211248008,0.40868833138903676,5.511136317328097,759.4464269584546,62.63527193949275,7.434536312013758,10.876897872880047,20.859730508152662,15.112247741886113,2.3647450182692604,1.5380664730881248,0.43550112767403343
8.278873821679811,0.4575720807942672,0.6089941395428161,10.598044470155504,518.2659392433532,42.36242109139982,9.258051821074071,9.494446558467112,13.616835664469221,20.121515891544572,2.9218665525431224,0.8872124940094953,0.18236870282878226
8.563314356287961,1.1824100564406816,0.9616894796002039,6.5970404524784305,769.5343300735408,24.71406362156765,16.98946650273798,30.732815688116165,6.777808539128122,5.465084306719763,2.9277735242871046,0.9724788945380234,0.7864501426891387
9.391576767241776,0.7667149290606001,0.6090438970539269,6.472934660054449,211.8130163699835,11.44659634306441,1.7313903728192896,16.81412645525971,60.43098425746293,16.580359132542952,1.003582913268316,1.3764047456407036,0.7328822287809894
,,,,,,,,,,,,
8.473265438757918,0.1762808394059071,0.10545404912625467,3.6934502780970773,112.50245183678783,73.71575878968527,11.304161807034893,3.0667716631582524,15.99597060077107,3.6052595167008206,2.4686328654130576,0.6093978727870232,0.5492679109169286
5.357046838610965,0.03071653898183147,0.7974476346410061,21.653738242372917,309.5016586989355,1.9377591006280115,0.9256894878078806,18.726890591774087,41.100025704788045,22.864743299367007,6.266880390053903,0.47947699245288666,0.6446352390515147
7.669923399374896,0.17160215592662786,0.5102921742538823,25.409984403074937,699.920045511626,6.7104591494307595,2.527416343518921,58.2260122237391,0.633829047688274,2.0645496945944486,1.0191107351411197,0.4678758849935434,1.0630508997901147
5.7431568407080675,0.07027928197463265,1.1285453156887444,39.33509457870196,203.88784021362173,8.341978837538658,2.882207623510113,16.277229211148004,21.364230422828246,36.97258435867356,2.4106206735672027,0.7279860773366291,1.1489404916928865
5.218848838584071,0.07629382904184258,1.3098022004870111,10.948378066052678,72.9195891454894,3.1710442372111416,1.8411809249435622,13.005984715473248,90.86842996290052,60.58749604388045,2.4979624702576686,0.405769434253279,0.8348260450389295
4.953608300141269,0.10700592680563728,0.1979243337391717,11.81529638164892,187.20070750507,4.717382450995593,2.4133168849071227,7.8292231843348405,31.38125051331451,3.1380069261169634,3.933488603713117,1.908590605288485,1.2171466583647963
8.762992365073382,0.30205297622377464,1.3521232871955489,8.583609613865494,271.3499121457867,18.139668865892148,7.017904008066871,18.61991597461341,8.688380358431639,13.124697744590046,1.2873108268938689,0.3350382027206046,0.43175373775473763
6.860169625108801,0.5958434674127198,0.22748224219467764,27.4188244099735,328.5505208241146,7.21588526404635,2.7487074838785954,42.75292812762909,3.583495135355345,29.886026593281287,1.8081507815238724,0.6894475133901841,0.3044929666666382
5.427452753361266,0.06880535130251815,0.8505281458544678,81.89232848027697,153.58077105192848,4.1928107758654125,2.482076091438612,4.5943930959636665,15.845413462857916,43.83381170390607,1.2213013826122887,1.2085875271205508,0.9925534881157293
8.025775682783742,2.2224199095630204,0.2282348156328643,46.53202472141739,288.0271775583441,14.953449645076839,5.083167502835005,26.51992015189122,26.896760651013157,3.9480937562000396,0.7594198382813768,1.9329109384455596,0.8391687313
6.926087948882424,0.1239534558469601,0.48319620897941257,13.253183194124972,644.6315788312207,12.07593400508701,4.5566060695665085,24.77471688215312,14.720146512103073,18.390132791374914,3.3064684326943476,1.2742748326373847,0.6200812953020831
5.909548234696688,0.16683547085880704,0.33050495150679104,81.43573222990761,375.6587220536003,5.733527683577952,0.6555985075232399,12.434479425194468,48.67304746649029,36.53870898642817,3.343914620896841,6.787678834375408,1.1385088531570855
8.816034460079159,0.12921512391419174,0.9537230650710528,67.58872314783166,158.66010224743857,24.845723831444435,5.5255523505590425,6.252873559976949,2.7144614134531393,5.1694459081594815,0.8961027282897703,0.3167124185006992,0.7042047050851331
9.070003138961809,0.12212657471185162,0.3595311454031731,5.3019895572983415,384.67937424154684,39.32921634341514,7.258911093826977,10.657466196229729,10.405068334265295,1.0424452904394974,1.631769698142574,0.39714977932397916,0.7216106717421683
6.362029358139405,0.12870380648149035,0.7430248368151822,17.667696457288848,219.3736065998883,7.688389747555564,2.0627362994202487,17.779134072784736,11.201622813580483,11.456912982814865,1.6289143734423308,1.0238030344792133,0.8463187501173178
7.987347972670376,2.236966883893905,0.2492134449073327,44.901712822262866,282.1074440564906,13.519784552805936,5.17553672137522,26.16636414181122,25.597062062114016,4.17729484714381,0.5593056450835675,1.896960744418979,0.778923646701909
8.13857381164889,0.18502738647899358,0.5059304545768587,34.70626356431131,492.020053546624,7.148757301433587,4.047739933094,24.530853189878844,-0.03219063527033095,2.0437741266177722,1.2729193259425957,1.23609914937463,0.5895553924893241
6.931059364995033,0.20674141927151593,0.9053345991322979,65.20547089694736,296.87520159557636,9.368794700138881,4.074581909001948,13.870293921982793,41.51351000258398,24.315041752456537,2.8061854538095945,1.230200368282495,0.7048882851372877
5.114078727506983,0.06669991689444352,0.4640353298100573,76.48337153454646,149.09631335779676,3.6579457120978023,2.7831443956134994,20.689719700794612,48.180967165031966,17.451399718657388,1.2070421682242167,0.5002941704738811,0.6086417158596504
6.640915456148282,0.2533807481998393,0.4478085674545526,53.61078309409754,224.35045790232004,4.422070438790987,2.8637944809515696,23.097648391183757,14.699850215455676,10.575988651129272,1.033979741053812,1.503642176059078,0.9228242524116745
6.614475336983362,0.25798857545340104,1.2215697796287777,3.665863245590825,240.3782382216428,25.24366474838041,2.6943230550804196,12.428455897662866,39.69804911394462,22.84909450046394,7.545380581531731,0.36196529330809024,0.8160632579462168
5.343892408182821,0.06218213052600602,0.8500845136915878,81.62674243264624,134.59758141345543,4.340013424516294,2.1366161542792876,6.123970350261066,15.392581787938159,43.244504662966385,1.2505802731827995,1.135635111395769,0.9661807750802602
5.358424564086011,0.06463377666082712,1.0254091807330394,19.298742381837375,43.727330410865235,1.6677311810837265,0.44021199906225794,14.856988042422914,40.62583035630853,32.86969318650252,1.3030059711614355,0.560626985546863,1.2114267516708153
5.251200226683758,0.06017918738009147,1.3358618118376742,10.480827303708033,93.77342037833947,2.6129182568929394,2.248723042867741,12.488589298241665,88.80884695189907,60.36012523439956,2.5552934085168464,0.47621017514537517,0.8114976875499755
8.488599500055038,0.18474892118288297,0.12830631075441487,6.49433300304073,112.55770450754396,75.34211243972806,11.479307155411334,3.6343200219328864,18.112266385787308,4.2711236750074395,2.486969725501546,0.6562345451947925,0.5561220069892099
6.285700221913291,0.14208930838715667,0.9022958605792198,4.012770037065198,189.0748228959331,13.340020297153197,7.129574816147147,18.069430460813148,29.030145979858215,27.137253558920346,8.232420937445594,0.6852509816375545,1.0033154662151451
6.943364192053063,0.14505843128457008,0.427870067134935,36.16557592016287,242.91735248984,3.2510368629010604,4.1982590668521125,24.798405152711997,3.678198327678791,5.495937116344382,0.6699050862080098,0.6548851839279726,0.8517934029635477
8.797256689087975,0.32574188048434166,1.353421244616088,10.350645488849324,260.89073140792283,16.923933051258537,6.801937736542324,16.194843245358086,6.514127491567461,13.194958876028139,1.089171643314467,0.2813407743750635,0.40738634784217354
6.0511227409145025,0.16860553746906756,0.322334191880534,82.16530601647887,386.03522520319916,6.091156896033569,0.7650881688054086,12.899721295292078,48.69116270891185,37.34020646124,3.2410194062562723,6.836059372853566,1.1325259779649728
6.174091358461399,0.10420163964354451,0.2717946194426174,12.644926516096485,260.61178515643496,7.087041893542754,2.133342462233391,14.892568166750275,37.672066843331216,23.518082908458855,3.4627674145158083,0.6491608678320181,0.9580867323710766
6.207545773710067,0.10790581981204694,0.978073135742984,28.979371201875036,468.01229501614205,5.786710014307443,2.9963780276324083,23.955797848485535,121.74622052430936,27.99616436190861,0.595116169255944,1.2283043466202965,0.16483487830731153
7.891749228071205,0.3941636527946899,0.9582208008123044,27.16747308539873,373.00491399522696,6.757158874975124,1.629041136928576,41.20745052409936,0.422929895556871,8.251430383287573,0.8718950354631991,0.7373335897332323,0.44717337419320413
7.997486098903794,0.4878627947128764,0.3789163310014334,61.03671894903267,409.9062310679339,7.026117978680545,5.378135261991229,22.074713325600488,20.184068414086717,25.712654561366485,0.1395715247052769,0.9927523153631682,1.0682262272387786
7.176357710499028,0.39897990543445533,1.1593732775001435,39.38829821599011,330.334980221148,10.081527693983322,3.1588228538957384,13.627572264179365,5.472649986013152,46.15383293368278,1.4761148442052903,1.0441098284711812,0.5175210927319525
7.069682855658183,0.13016764032933095,0.4284795531164838,15.14016930491028,641.6820040535029,13.018823505174176,4.214120433356592,25.057894188204106,15.558860417552959,19.320925222618754,3.2194750379805797,1.32170243383156,0.601939276477807
9.003977848953479,0.15465726129732335,0.3356123924427095,4.455195253527713,414.02924903632925,40.79088883733106,7.2171439117638245,11.569168946030183,4.209218926869205,2.2434573895842034,1.74583095514001,0.34399683645275236,0.7105732544112284
6.244929193064373,0.0902150854559324,0.7355052024817196,56.48264353638297,263.11725012460425,5.83622936817814,2.331117688464468,10.123847666017427,3.4026037596638092,26.72356389066625,1.829959973165653,0.5221087219829851,0.5013820306834473
8.206482906406679,0.24522366824780764,0.8330116418512771,24.969803751128726,213.17050493380805,5.349945354803064,2.649013248109699,27.05170665733977,16.7293949084817,3.596856304816919,2.4312859694837234,0.5400584453364511,0.31167488975468977
6.133731847939916,0.13351097843802257,0.26583213008390877,12.60178981416961,279.21643788989365,5.255297841289233,1.8582994727349955,14.823983182067487,40.12033250542441,24.730150315377795,3.6126920235755775,0.6929372789449011,0.942416329934759
7.421382304599882,0.10369571751890927,0.5919375251265471,39.51173157614821,125.7905683438853,4.6033359100428575,1.2896787102009935,20.966918537193482,6.072062702816278,14.336867208715642,0.7843740638280082,1.704985683528949,0.9010140567326088
4.743970887484109,0.06214785007368776,0.6928016919872884,56.91940205384726,85.60647431134619,3.3474916529589946,0.7619568176490479,7.704294927557013,22.005833270995815,18.675033421432758,0.4107266169150846,0.6634501969236514,0.06919624918458767
5.0787029474745,0.06515854272097145,0.23468369366259623,37.59117095819798,101.24494346493773,3.1373632166705416,0.7307928989002168,24.456771897075175,0.9598579571999553,6.909220371827565,1.302271927155535,0.5432391598029117,0.3913291720133567
5.13152497498972,0.07647372094786573,0.22384836975831418,38.51371798821348,99.40946374595926,2.1312839754452617,0.833046365143735,23.84292681816035,-0.9713925555375035,7.86438613799809,1.4064937631616767,0.5737335588008183,0.35822756842633957
6.465990147289134,0.1047353950142066,0.7118699496990492,7.149482136622476,349.90188534227866,6.79273916735784,2.3333351582000317,18.140150610685993,28.07467364559844,63.882180329806566,2.0142189881249033,0.5827808470345079,0.43338355299996684
6.9050420755552855,0.05555695475142462,0.08178389321397847,39.717324164421335,307.74771884013273,5.401363702103096,4.1762554648529555,7.942518287820209,2.6984402922326023,4.592121368973489,0.3605201647788081,0.5035494062888254,0.8524790225682027
5.2907056303116615,0.039309395311953176,0.8761389862504328,81.05014918200307,140.98440646956803,2.1516804446017432,2.7369222282863963,4.776743549507584,14.925239954732358,44.19183901241822,1.3074243347122512,1.3058540626748327,0.9817043397018619
6.806231929362474,0.09498475207753679,1.0542533386386745,25.104385162184993,435.51858013458764,6.506441217617617,2.43934976473534,10.169165024809026,2.7417992427662425,15.220750634813166,2.185255092389417,0.8720585880056332,1.2338987610430654
6.886068596091884,0.08518949774582585,0.8415457600804381,11.585856090560394,76.77426108133099,27.317335412797338,6.287602846246532,12.097995040840312,45.638112896322795,23.859378521811596,10.01902905519394,1.5864485132842605,0.5730978330769587
6.020942943190851,0.24270147550362955,1.0303626495493967,22.968605632497766,450.3721383129436,10.674550360060955,1.8672705729397423,10.606303570846663,54.04250594628823,51.74226138865186,0.3779648278764482,1.0087757151486725,0.45969516184423076
7.108154362786346,0.22028026051737137,0.8691624273237605,64.84901749744466,294.35147161480404,10.31361013573204,4.143796340342323,13.861024562898445,40.16822281498741,25.30895620305004,2.869302945703578,1.2833040573854309,0.7051964394573259
9.483360908088455,0.7611930668373297,0.5986161450367351,4.600718260525351,218.8433088444953,10.993062848619312,2.153897182204136,17.510530655254943,58.11921711417702,18.973276625436185,0.9862202423832003,1.2994270582269063,0.7461055542409946
7.807996241444327,0.31008768232644446,0.6121585599042462,30.10215714937583,587.0903723855558,,14.749364233620364,9.232162275212502,6.720595478329085,3.6479244150262624,1.086196277823197,0.7347940824215037,0.26511387719005713
5.246584765808373,0.0551532206529523,0.6732643881024983,10.683011468490996,164.82456554432108,3.5261476414838966,1.9450823920550937,5.947468873138424,44.9257902107414,44.58161469726861,5.494352656212825,2.961465409623072,0.971236751124386
6.325959101516232,0.05226557117776029,0.4812379142557361,35.06022273817334,214.73358715916282,4.071336994685415,1.897428553519207,12.80449118733275,5.302468695663456,10.71473850110505,1.7104846245257066,0.84944804786376,0.2579723683750624
6.228429484728999,0.10984041658185137,0.9097871704397961,6.203883028638808,196.5292722035567,13.615137009421382,6.925117819560821,18.50351436227023,30.67045338829599,26.53071202299596,8.417171043923954,0.6648731677510423,1.0046479679182985
8.427314085216643,0.24447155116474895,0.6276975239154495,16.395035667500302,592.6782816037065,43.978314485774035,2.8431387397617396,17.418815124638943,1.6702790032980617,2.60497965686989,1.7994140407753663,0.6189693129867653,0.6576686093636915
6.342320472203136,0.09910246535575035,0.6752005955595398,4.600651015045889,348.1693422221268,5.022822641226148,2.5527527537887527,17.393155895022865,28.38752373010914,64.33411744698736,2.3143465785636805,0.5829906139708744,0.41523634535190634
6.753559002235702,0.2371310095110162,0.43499446384859464,54.42829866947693,239.5342203163354,3.2075939082020235,3.1502873006328866,22.243653923368967,13.18401845857685,10.090822518631038,1.1367249386368965,1.597100619502546,0.903542830267279
8.754133183265607,0.15950347475087376,0.5785481525147791,12.65531720692043,213.92456509061213,10.031768062333462,3.6817128295364316,19.000994464205938,4.352094239007764,4.841849987193937,0.43371365776059584,0.8276489285637909,0.4948050661800491
5.110163335292825,0.07515315820952762,0.2563476521661006,36.73251008067817,87.1223774430561,3.2088809839501344,0.8055435565681526,25.849904678060636,0.5486800753405436,8.472316541126991,1.3999671549275507,0.5637148775504394,0.3832609929536525
8.568009665085137,0.191182836571908,0.13315641240559842,4.876730224153042,97.13478344264296,74.40007420178776,11.321153344630288,2.9778916445249575,14.046667446766095,3.369861902478388,2.294763136950152,0.7017599955333602,0.5572269621080346
5.915834824260927,0.11227246893302636,0.19462742765348673,14.417654226577449,217.47220485529,7.234830572194977,3.630526864070953,29.599276931921644,158.07270114157052,49.29880875329941,4.397076811055271,1.6095304977514662,1.005999531795319
8.988637094793145,0.17743748353008748,0.42699941020271276,33.43193338055545,115.86251977953106,13.44618671567015,8.182089347126082,18.47083874105493,12.25822521316372,3.2997210450086225,2.148278268182983,0.7029228216094848,0.7788506198976624
7.42909370579342,0.08857382850522462,0.6322573204468104,36.218898817273555,116.42888306242388,4.485980039785244,1.1016659856911009,21.477277468920978,8.665955740777601,16.8522116879669,0.7653050437919763,1.5538595693295796,0.8694412096532343
5.382898458481684,0.018422146038695,0.3401876049657768,4.201928570752883,718.2835718034116,3.8457929769144084,1.6611292227849679,28.897307060571144,-1.3013532637444047,12.354049582140613,0.7110191914341119,0.7061715935659191,0.5969304683442134
5.321840678113502,0.013297470876892023,0.6642596676706976,11.985602909999923,160.18205903581375,2.385997845853369,1.5586347022974423,6.576422004329993,42.01523771081153,44.41912712993007,5.574851969282356,2.9233403722873583,0.9712772422039024
6.1452377582225655,0.12172235564251459,0.21428912778757037,12.441065762470354,200.6251871420472,5.382880990166685,3.4246643337299405,30.12743441498625,159.43206588599767,50.33915256491414,4.371820085008269,1.4773539524156192,1.0066854999663362
5.198639453377492,0.0720021694201283,1.3404298402089323,11.907387930401125,83.60782788689176,2.239949734805574,2.228007028351658,12.85853784729234,92.96312163931216,60.21257969999289,2.6122618616097992,0.419268571879289,0.8251381108420796
5.784558164903245,0.08674298440495212,1.1322154367953465,37.79291564930318,215.4080766991548,7.145276788771473,2.5163232992038784,16.668687541688385,21.715477697789105,36.71351022545854,2.3774734744759547,0.8195401764819302,1.194135465913893
8.296993936129216,0.20576267501620554,0.2552762713776983,77.06816553742763,286.4220068731543,5.427098844223862,4.234210577111857,28.272407309823198,8.06429453239991,6.229149069310946,0.6524603098300353,0.9723614986178121,0.6202251523807049
8.311676594746208,0.17612197859826734,0.3683688746887382,9.097253192176566,406.2731758880222,,3.779336438191702,1.166886075112854,-0.8226240621147236,1.242194438388422,1.019871788592228,0.6745003615813123,0.38231213213823306
9.20815673409705,0.26452919169995637,0.5081525992346354,14.283649244194068,151.47259138538487,6.35095855629301,5.05646666150236,20.365172162348752,4.173703080992979,5.651188610755325,0.34835929087745154,1.3611544620743217,1.359229603630722
8.727849710622037,0.13369285021206442,0.5911631095392804,13.250714428336542,226.2109715875366,8.603705244036652,3.4918142197257005,19.54402677541639,3.523100027600348,3.905874275778895,0.337365347813937,0.7996331020831444,0.5018814179842481
6.130087663149675,0.2365870849324515,1.0127267237621242,22.759713225198798,441.5840627997286,11.476253177150333,1.7718588641093609,11.853876107681986,56.62997756868047,53.19241326488427,0.41054751525616023,0.9364213663813912,0.46322262859575924
8.856965533019853,0.20402801311173327,0.5623238176800418,56.49171960075621,434.51940852401975,29.385639446112037,3.0683358446572644,25.263400917306324,2.5960441150722557,11.593604580296622,0.636214316071536,0.3447467750934667,0.23207809580252928
8.08795663877515,2.2207701813132945,0.23065955258058182,48.15287905425696,295.28540041297515,15.163221523978194,4.987224894356777,26.558148994963727,28.571168960219023,4.107718554092835,0.5512188903171668,1.937864421122226,0.8042241605581113
6.008628053727743,0.12204076660961503,0.26653064166849466,12.096505586398505,263.1671786540885,6.207180230173386,2.0549889392307903,15.059456733449577,39.71848890290625,25.508871552904893,3.6815883197083767,0.6684128073830287,0.9297413627443694
6.769793709389533,0.6074609081882749,0.2164919307417056,26.661573829017424,304.1644523712709,7.2823084550281845,3.0403913610414817,42.908137981775205,2.89297077986859,29.171879829857424,1.962686156117167,0.6479838523841162,0.3169478995853383
5.990231966556438,0.14587997066640282,0.2036697542400927,13.61229217295258,217.19694339783922,6.767825332289627,3.52924381178425,30.052601759069088,157.72641587952708,50.237546037718914,4.2030347772706,1.5743539403406885,0.998807570972299
6.280933706216093,0.05530826537118118,0.2236439668034652,57.50286058574107,151.2337887269978,4.54250637186107,1.542534798499149,11.503594942839161,26.746015721803563,18.25636512665055,1.0924739187283383,0.9718820082620239,0.710515701323387
6.30273201107286,0.03321814113941242,0.4987964875620865,35.176326898652185,233.7463995509867,2.8843429859545067,2.1219080122144325,11.057006987704389,6.56231874884339,11.009295952927976,1.7287202679043443,0.962867352595327,0.2661730205648639
8.652021280975257,0.04079808694952425,0.6679970709444862,37.20737017499817,233.9059666523409,7.776197225904633,5.477925279236257,33.88914007520674,14.954891461725573,3.076946521526512,1.5294177681055303,0.45070081119892164,0.7815220221946773
5.011673442139024,0.04260469295548372,1.1407861789159903,16.41160205247863,203.89603017626948,1.5375746078351094,0.8454172435338612,6.956011459516967,56.681529135743965,76.29787643539136,1.5111470845128316,0.6461235241145731,0.5085850548492687
8.527113585374005,0.17125652701963467,0.11620524069930092,3.918212337029627,104.33920717952087,73.8936987060665,12.044415537572524,4.0102169658788,14.224977143718176,4.880176053665091,2.4516692505282234,0.6909776454660141,0.5601465140272223
8.116484350144008,0.5987825911999082,0.8808749446097142,8.028484849844892,353.00016189731065,15.169838973123689,8.460621844494824,3.5602987168777873,-0.8201681358142399,7.489050387989366,1.9712743519151588,1.7736314637337531,0.04362236998871011
4.664795704094479,0.04475630314967446,0.7409396898444934,57.10018955047414,110.1007654364886,3.2181736429896626,0.8622710264600595,9.28766754215773,22.880656171302153,18.5793388385957,0.6543468138895641,0.7414421136572349,0.07930624701981369
7.811861849004055,0.47909734696109196,0.6107601820427868,22.806806038811303,338.82246285311174,19.210173006705315,11.18519302398844,15.736011435996067,1.9520320742583088,13.612531287039378,10.445158919398985,0.7935303083961981,0.24482255884289983
7.791716968374802,0.08123398719716206,1.0596920808600214,26.34473787213766,220.70980768725266,6.47346995837248,2.544245156193333,10.23539516170784,0.764577260164941,5.494054249107313,1.3390314256674802,0.4324460221786145,0.6336201235590233
8.991407662618958,0.1712319142622782,0.40325319320474534,33.61984694795305,120.79034010922689,14.105419024048157,8.287871095935945,18.323306605170494,11.450511548950272,2.8057328285301426,2.120063278366054,0.7829059167835158,0.7548719434656319
8.20068639046811,0.14102460175274248,0.2773357091307186,7.2519884247646,212.9422718379303,10.002184448462195,3.4956436373753506,42.275366708213774,2.0026799748956243,0.4389730346712053,0.9822723215287922,0.26784400261527,0.7013643766933464
4.968159021583103,0.0753735155393131,0.473598507039759,11.04198612321063,67.2104355600927,2.1522559354753326,0.8662192212335325,2.9538290263789837,24.252920712339108,17.71485967993734,1.433426375648309,0.6864998960052954,0.8061454318371635
6.323008265494037,0.040133149145800316,0.48096842856243227,32.72716688731748,232.18135950573745,4.004434441548107,1.739295408020661,11.886898613453424,8.108766836458019,10.364831920921183,1.8250402514963986,1.0658288195337755,0.2612256999049757
9.476499259352892,0.4289654586577824,0.18792955731040117,10.29267164118605,707.9699458607702,33.375611513119786,14.320035506718316,10.637773031258323,3.8083792044593583,15.539629616833347,2.321122371630654,1.4673661261994597,0.6046080715848875
8.82812205533705,0.10275376395131348,0.9927285819055989,67.23537068849511,172.80231208377646,25.453741290566278,5.525669944315878,7.156592924004265,0.3087697143182724,7.0167627315034915,0.8196072964393324,0.27626437677500343,0.7262175598499123
8.818556040225381,0.1372637855440893,0.9568626336354633,67.86922354508752,163.4788989356757,24.76758875754513,5.344780063289372,8.044386468484463,3.6290076843257784,6.190486431716004,0.9482786507931988,0.4659021430560351,0.7419480071729557
8.805546426840749,0.24448840606646774,0.5405005600800573,57.7969837299903,412.77604204278356,31.343565397855667,2.6382734822195597,25.047309084767125,3.9160668850693217,10.852765193199437,0.5367671574037748,0.35829888182570274,0.25155197459701134
6.783365987467689,0.08292273053980095,0.6295221788833381,28.95574389349175,329.0408703666304,7.383479480416619,2.9883113732612694,8.60527159098153,10.784791440240932,10.566509495489347,1.3530122550650023,0.705439094102014,0.4900353847852767
6.281763377849878,0.15214608601161242,0.9029881596769237,5.07497494813034,191.76286320088826,14.268432343978066,7.421708461417365,17.63019397982974,28.939274964330313,26.97427268891178,8.335998819449271,0.7301924296364334,0.9968589719884369
5.806151100454842,0.0660913516407118,1.1355819135053205,40.20297413295323,194.4916862232333,6.519317114818369,2.1322130057732496,15.830067026983285,19.492107715538932,36.707807625398445,2.2256940652708535,0.7682035027315932,1.180063544294302
8.451411432775226,0.1931294573242666,0.11055399417567036,3.633646563379821,109.33479918976305,74.44706825737744,11.145873184333752,4.272337631355432,14.980883941338572,2.987095563552682,2.203957188153475,0.6450604043597578,0.5517659658101007
8.559830177337153,0.21222464794118998,0.511385993444238,6.075122520345421,584.4233199574591,40.2157650204362,23.530957394348984,8.884903964320824,12.746724726271506,4.926941178591773,1.6793110363542736,2.0594588518008026,0.3007559769272008
8.521473821880676,0.10965468042709998,0.5812170968890956,13.803616356036395,330.216252639846,16.2813444020422,4.745719225501317,17.18056969943655,18.06006423992642,1.7288729193057566,1.0089363578538377,0.04704227439516222,0.1702849589619243
7.729313631925991,0.4548903248745689,0.8584818620396782,57.7335815712655,383.5380217111673,9.273129602757995,3.0599902388766576,5.1032618143746165,3.711118455724444,14.176578358786847,1.2159735612784062,2.4858831300096127,0.39498894231514026
6.888046984686938,0.6006418491509421,0.19333708732770313,24.848047091229855,317.9498198920189,6.33134984799956,2.615491417833946,44.16232639426036,0.5386497064546842,29.978247485663466,1.8475524924677518,0.7375000953070856,0.30274826205552524
7.714050172678777,0.2624155445573583,1.20797901538338,62.17543691578606,764.6803845851781,8.5530747717981,3.098205267868256,21.87852065530752,4.608832818953392,13.708568438925566,3.1130687791846294,2.782996999346562,0.9515924975932627
5.630830440687229,0.08251192906832022,0.7047281336521425,23.098105642780332,187.8489934695053,5.657063330197961,1.4857752647888265,7.813841348862045,41.3572533846167,48.38268888307694,2.5051030447060487,2.613706288980726,0.9482364747958213
5.781436508966301,0.06470180455672757,0.7470107065971533,78.29413007589403,131.9398938703004,4.510557869848974,2.239446660815969,20.906466454883525,21.662576027141633,55.61299453436896,2.0973273256498737,0.8027022535764002,0.5718889762499073
6.862671264932829,0.07572018358677222,0.8277382692401793,10.78494384429367,85.03476016978549,27.844860989777864,5.9760938640927534,11.4026471530935,47.283736474758044,24.669739541907713,10.0945198877308,1.5650015941440643,0.5979434977899334
6.631682534865226,0.24382249986634744,0.4150387318117824,56.049865299907886,214.13866363251464,3.3185633143166196,3.206329198709641,22.853379158561392,16.990524408032787,10.809850961192927,1.0833465921477756,1.623106369847624,0.9251340533015601
8.315097748040005,0.19581221075077396,0.2975401109847739,79.42824724000886,299.907972122976,4.900246226131331,4.627491941075224,27.766088413929797,1.9287212449982452,5.363311592461099,0.6253366131355065,0.9279112878848633,0.5823140087013441
,,,,,,,,,,,,
9.372336845520664,0.42430638923103886,0.2120486945353697,8.308560004646223,718.9030561715609,32.831019501473804,14.578708976830379,10.833632649368802,3.759040189253774,15.0984245890166,2.2265932917420495,1.5313744111232421,0.6195210020439749
9.414855521282131,0.763186931441655,0.6288557519103491,5.049999372262113,230.34092998972875,11.839268245114487,1.9782780780598392,15.843424622582088,58.54431623200305,18.18889589873093,1.0083932377327136,1.3687405931308845,0.7428817295930356
6.323540422682134,0.04964500171081836,0.23647502859189676,54.590061570311136,148.42375548973524,4.864770496749905,1.5759401241959108,11.66401839872288,25.007166046408237,17.759307698213068,1.1466708213753518,1.0521170760526644,0.7187495098400405
9.024399830643333,0.1432054119790245,0.3298120215655979,5.7940956277802105,399.57622229448344,40.88293283539573,7.4390619131393505,10.709779882916806,8.557441383160821,3.011196171829041,1.7826385375336884,0.4252151169162514,0.7571373612464013
